Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,# name
1,1667420549533,02/11/2022 20:22:29,1667420548944,-4,02/11/2022 16:22:28,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1667420553982,02/11/2022 20:22:33,1667420553439,-4,02/11/2022 16:22:33,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,1,1,1,Screen 1,advancementZone,continue_button,4316,null,,null,,0,1,0,null,null,false,,,Instructions,,
3,1667420556684,02/11/2022 20:22:36,1667420556158,-4,02/11/2022 16:22:36,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,2,1,1,Race,buttonB,response_button_text,2625.900000035763,null,,Black or African American,1,0,1,0,null,null,false,,,Trial,,# Amir
4,1667420558064,02/11/2022 20:22:38,1667420557535,-4,02/11/2022 16:22:37,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,2,1,2,Gender,buttonA,response_button_text,1343.699999988079,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Amir
5,1667420574054,02/11/2022 20:22:54,1667420573534,-4,02/11/2022 16:22:53,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,3,2,1,Race,buttonC,response_button_text,15928.599999964237,null,,Chinese American,1,0,1,0,null,null,false,,,Trial,,# Yuxuan
6,1667420575768,02/11/2022 20:22:55,1667420575231,-4,02/11/2022 16:22:55,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,3,2,2,Gender,buttonB,response_button_text,1645,null,,Female,1,0,1,0,null,null,false,,,Trial,,# Yuxuan
7,1667420579486,02/11/2022 20:22:59,1667420578974,-4,02/11/2022 16:22:58,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,4,3,1,Race,buttonA,response_button_text,3635.2999999523163,null,,Caucasian or White American,1,0,1,0,null,null,false,,,Trial,,# Haoran
8,1667420580107,02/11/2022 20:23:00,1667420579597,-4,02/11/2022 16:22:59,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,4,3,2,Gender,buttonA,response_button_text,579.5,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Haoran
9,1667420581695,02/11/2022 20:23:01,1667420581158,-4,02/11/2022 16:23:01,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,5,4,1,Race,buttonA,response_button_text,1475.6000000238419,null,,Caucasian or White American,1,0,1,0,null,null,false,,,Trial,,# Jack
10,1667420582807,02/11/2022 20:23:02,1667420582290,-4,02/11/2022 16:23:02,100192,3,task-iume,,24963866,,7375794,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1500x1000,1500x889,,RacializedGenderedName_TrialStructure,17,40Names_4Race2Gender,40Names_4Race2Gender,5,4,2,Gender,buttonA,response_button_text,1089,null,,Male,1,0,1,0,null,null,false,,,Trial,,# Jack
